operator,iso3,fuels,collect_status,loader_key,waste_status,region_ids,notes
Tres Hermanas Wind,PER,wind,not-collecting,statics,unpublished,wind-tres-hermanas,Country/T3 stub — Ember/IRENA is not TSO collection.
Cupisnique Wind,PER,wind,not-collecting,statics,unpublished,wind-cupisnique,Country/T3 stub — Ember/IRENA is not TSO collection.
NV Energy Wind,USA,wind,live-tso,eia-vre-bas,unpublished,nevp-wind,EIA-930 generation; BA publishes no curtailment rate.
NV Energy Solar,USA,solar,live-tso,eia-vre-bas,unpublished,nevp-solar,EIA-930 generation; BA publishes no curtailment rate.
WAPA Desert Southwest Wind,USA,wind,live-tso,eia-vre-bas,unpublished,walc-wind,EIA-930 generation; BA publishes no curtailment rate.
WAPA Desert Southwest Solar,USA,solar,live-tso,eia-vre-bas,unpublished,walc-solar,EIA-930 generation; BA publishes no curtailment rate.
SPP West Wind,USA,wind,live-tso,eia-vre-bas,unpublished,swpw-wind,EIA-930 generation; BA publishes no curtailment rate.
SPP West Solar,USA,solar,live-tso,eia-vre-bas,unpublished,swpw-solar,EIA-930 generation; BA publishes no curtailment rate.
Duke Energy Carolinas Wind,USA,wind,live-tso,eia-vre-bas,unpublished,duk-wind,EIA-930 generation; BA publishes no curtailment rate.
Duke Energy Carolinas Solar,USA,solar,live-tso,eia-vre-bas,unpublished,duk-solar,EIA-930 generation; BA publishes no curtailment rate.
Duke Energy Progress East Wind,USA,wind,live-tso,eia-vre-bas,unpublished,cple-wind,EIA-930 generation; BA publishes no curtailment rate.
Duke Energy Progress East Solar,USA,solar,live-tso,eia-vre-bas,unpublished,cple-solar,EIA-930 generation; BA publishes no curtailment rate.
Duke Energy Progress West Wind,USA,wind,live-tso,eia-vre-bas,unpublished,cplw-wind,EIA-930 generation; BA publishes no curtailment rate.
Duke Energy Progress West Solar,USA,solar,live-tso,eia-vre-bas,unpublished,cplw-solar,EIA-930 generation; BA publishes no curtailment rate.
LG&E/KU Wind,USA,wind,live-tso,eia-vre-bas,unpublished,lgee-wind,EIA-930 generation; BA publishes no curtailment rate.
LG&E/KU Solar,USA,solar,live-tso,eia-vre-bas,unpublished,lgee-solar,EIA-930 generation; BA publishes no curtailment rate.
Imperial Irrigation District Wind,USA,wind,live-tso,eia-vre-bas,unpublished,iid-wind,EIA-930 generation; BA publishes no curtailment rate.
Imperial Irrigation District Solar,USA,solar,live-tso,eia-vre-bas,unpublished,iid-solar,EIA-930 generation; BA publishes no curtailment rate.
BANC Wind,USA,wind,live-tso,eia-vre-bas,unpublished,banc-wind,EIA-930 generation; BA publishes no curtailment rate.
BANC Solar,USA,solar,live-tso,eia-vre-bas,unpublished,banc-solar,EIA-930 generation; BA publishes no curtailment rate.
Los Angeles DWP Wind,USA,wind,live-tso,eia-vre-bas,unpublished,ldwp-wind,EIA-930 generation; BA publishes no curtailment rate.
Los Angeles DWP Solar,USA,solar,live-tso,eia-vre-bas,unpublished,ldwp-solar,EIA-930 generation; BA publishes no curtailment rate.
Public Service New Mexico Wind,USA,wind,live-tso,eia-vre-bas,unpublished,pnm-wind,EIA-930 generation; BA publishes no curtailment rate.
Public Service New Mexico Solar,USA,solar,live-tso,eia-vre-bas,unpublished,pnm-solar,EIA-930 generation; BA publishes no curtailment rate.
El Paso Electric Wind,USA,wind,live-tso,eia-vre-bas,unpublished,epe-wind,EIA-930 generation; BA publishes no curtailment rate.
El Paso Electric Solar,USA,solar,live-tso,eia-vre-bas,unpublished,epe-solar,EIA-930 generation; BA publishes no curtailment rate.
Associated Electric Cooperative Wind,USA,wind,live-tso,eia-vre-bas,unpublished,aeci-wind,EIA-930 generation; BA publishes no curtailment rate.
Associated Electric Cooperative Solar,USA,solar,live-tso,eia-vre-bas,unpublished,aeci-solar,EIA-930 generation; BA publishes no curtailment rate.
Southwestern Power Administration Wind,USA,wind,live-tso,eia-vre-bas,unpublished,spa-wind,EIA-930 generation; BA publishes no curtailment rate.
Southwestern Power Administration Solar,USA,solar,live-tso,eia-vre-bas,unpublished,spa-solar,EIA-930 generation; BA publishes no curtailment rate.
Dominion Energy South Carolina Wind,USA,wind,live-tso,eia-vre-bas,unpublished,sceg-wind,EIA-930 generation; BA publishes no curtailment rate.
Dominion Energy South Carolina Solar,USA,solar,live-tso,eia-vre-bas,unpublished,sceg-solar,EIA-930 generation; BA publishes no curtailment rate.
Sweden SE1 Wind,SWE,wind,live-tso,entsoe,unpublished,sweden-se1-wind,ENTSO-E A75 generation; waste unpublished.
Sweden SE1 Solar,SWE,solar,live-tso,entsoe,unpublished,sweden-se1-solar,ENTSO-E A75 generation; waste unpublished.
Sweden SE2 Wind,SWE,wind,live-tso,entsoe,unpublished,sweden-se2-wind,ENTSO-E A75 generation; waste unpublished.
Sweden SE2 Solar,SWE,solar,live-tso,entsoe,unpublished,sweden-se2-solar,ENTSO-E A75 generation; waste unpublished.
Bosnia Wind,BIH,wind,live-tso,entsoe,unpublished,bosnia-wind,ENTSO-E A75 generation; waste unpublished.
Bosnia Solar,BIH,solar,live-tso,entsoe,unpublished,bosnia-solar,ENTSO-E A75 generation; waste unpublished.
Montenegro Wind,MNE,wind,live-tso,entsoe,unpublished,montenegro-wind,ENTSO-E A75 generation; waste unpublished.
Montenegro Solar,MNE,solar,live-tso,entsoe,unpublished,montenegro-solar,ENTSO-E A75 generation; waste unpublished.
Kosovo Wind,XKX,wind,live-tso,entsoe,unpublished,kosovo-wind,ENTSO-E A75 generation; waste unpublished.
Kosovo Solar,XKX,solar,live-tso,entsoe,unpublished,kosovo-solar,ENTSO-E A75 generation; waste unpublished.
Kauai (KIUC),USA,solar,no-public-series,tso-grid-markers,unpublished,kauai,Grid present; no public ops series wired.
Alaska Railbelt,USA,mixed,no-public-series,tso-grid-markers,unpublished,alaska-railbelt,Grid present; no public ops series wired.
Puerto Rico Wind,PRI,wind,relay-tso,puerto-rico,unpublished,puerto-rico-wind,Relay CSV / geoblocked live path. Waste unpublished unless operator publishes restricciones.
Puerto Rico Solar,PRI,solar,relay-tso,puerto-rico,unpublished,puerto-rico-solar,Relay CSV / geoblocked live path. Waste unpublished unless operator publishes restricciones.
Guam,GUM,solar,no-public-series,tso-grid-markers,unpublished,guam,Grid present; no public ops series wired.
US Virgin Islands,VIR,solar,no-public-series,tso-grid-markers,unpublished,us-virgin-islands,Grid present; no public ops series wired.
American Samoa,ASM,solar,no-public-series,tso-grid-markers,unpublished,american-samoa,Grid present; no public ops series wired.
Northern Mariana Islands,MNP,solar,no-public-series,tso-grid-markers,unpublished,northern-mariana-islands,Grid present; no public ops series wired.
New Brunswick,CAN,mixed,no-public-series,tso-grid-markers,unpublished,new-brunswick,Grid present; no public ops series wired.
Nova Scotia,CAN,wind,no-public-series,tso-grid-markers,unpublished,nova-scotia,Grid present; no public ops series wired.
Prince Edward Island,CAN,wind,no-public-series,tso-grid-markers,unpublished,prince-edward-island,Grid present; no public ops series wired.
Newfoundland and Labrador,CAN,hydro,no-public-series,tso-grid-markers,unpublished,newfoundland-labrador,Grid present; no public ops series wired.
Yukon,CAN,hydro,no-public-series,tso-grid-markers,unpublished,yukon,Grid present; no public ops series wired.
Northwest Territories,CAN,hydro,no-public-series,tso-grid-markers,unpublished,northwest-territories,Grid present; no public ops series wired.
Nunavut,CAN,mixed,no-public-series,tso-grid-markers,unpublished,nunavut,Grid present; no public ops series wired.
Greenland,GRL,hydro,no-public-series,tso-grid-markers,unpublished,greenland,Grid present; no public ops series wired.
Hong Kong CLP,HKG,solar,no-public-series,tso-grid-markers,unpublished,hong-kong-clp,Grid present; no public ops series wired.
Hong Kong Electric,HKG,solar,no-public-series,tso-grid-markers,unpublished,hong-kong-hke,Grid present; no public ops series wired.
Macau,MAC,solar,no-public-series,tso-grid-markers,unpublished,macau,Grid present; no public ops series wired.
Sarawak Energy,MYS,hydro,no-public-series,tso-grid-markers,unpublished,malaysia-sarawak,Grid present; no public ops series wired.
SESB Sabah,MYS,solar,no-public-series,tso-grid-markers,unpublished,malaysia-sabah,Grid present; no public ops series wired.
Réunion,REU,solar,no-public-series,tso-grid-markers,unpublished,reunion,Grid present; no public ops series wired.
Martinique,MTQ,solar,no-public-series,tso-grid-markers,unpublished,martinique,Grid present; no public ops series wired.
Guadeloupe,GLP,solar,no-public-series,tso-grid-markers,unpublished,guadeloupe,Grid present; no public ops series wired.
New Caledonia,NCL,solar,no-public-series,tso-grid-markers,unpublished,new-caledonia,Grid present; no public ops series wired.
French Polynesia,PYF,solar,no-public-series,tso-grid-markers,unpublished,french-polynesia,Grid present; no public ops series wired.
Wallis and Futuna,WLF,solar,no-public-series,tso-grid-markers,unpublished,wallis-and-futuna,Grid present; no public ops series wired.
Grid-India,IND,solar,relay-tso,india-grid-india,unpublished,india-grid-india,Relay CSV / geoblocked live path. Waste unpublished unless operator publishes restricciones.
REE ESIOS,ESP,"wind,solar",not-collecting,spain-esios,unpublished,spain-wind;spain-solar,Parser shipped. Returns {} without ESIOS_API_TOKEN. Does not overwrite ENTSO T1a Spain. Indicator 704 is mixed-fuel — no invented split.
KPX,KOR,"wind,solar",not-collecting,southKorea,unpublished,south-korea-wind;south-korea-solar,PvAmountByLocHr parser behind DATA_GO_KR_SERVICE_KEY. Ember×rate until the key is issued. Wind stays Ember until a KPX wind series exists.
OC SENI,DOM,mixed,live-tso,dominican,unpublished,dominican-republic;dominican-republic-wind,"GetGeneracionReprogramadaJSon GENERACION MW is total system, not VRE waste. Generation collected."
Noga / IEC,ISR,solar,not-collecting,israel,unpublished,israel,noga-iso.co.il 403 from this IP. PUA literature waste kept until a Noga series exists.
NEPCO,JOR,"solar,wind",not-collecting,jordan,unpublished,jordan,No hourly dashboard. PDF commentary is not a TSO series.
Taipower,TWN,mixed,not-collecting,taiwan,unpublished,taiwan,genary.txt geo-blocked from this IP. Relay from in-region IP required.
EMA / SP PowerGrid,SGP,solar,not-collecting,,unpublished,singapore,EMA TES / wholesale half-hourly not a public JSON from this IP.
IEMOP / NGCP,PHL,"solar,wind",live-tso,philippines,unpublished,philippines-solar;philippines-wind,WESM RTD SCHED_MW ZIP is public. No available-capacity column. Waste unpublished.
EVN / NSMO / NLDC,VNM,solar,not-collecting,vietnam,unpublished,vietnam,nldc.evn.vn timed out from this IP. 4 TWh literature kept until a PDF relay writes CSV. 365 GWh 2020 is not T2.
NTDC / NPCC,PAK,"wind,solar",not-collecting,pakistan,unpublished,pakistan-wind;pakistan-solar,NEPRA NPMV 1.34 TWh is published missed volume — keep until NTDC series exists.
PGCB / BPDB,BGD,solar,live-tso,bangladesh,unpublished,bangladesh,PGCB hourly solar generation collected. Waste unpublished. Invented 0.1 TWh dropped.
PREPA / LUMA / Genera,PRI,"wind,solar",relay-tso,puerto-rico,unpublished,puerto-rico-wind;puerto-rico-solar,operationdata.prepa.pr.gov dataSource.js utility-scale PPOA SiteTotal MW. abed NordVPN on 403 → relay CSV. EIA-930 has no PR BA. Waste unpublished. Not T1a. Lake needs ≥24 snapshots before a diurnal is emitted.
Landsnet,ISL,hydro,not-collecting,,unpublished,iceland,No public Landsnet time series. Keep Orkustofnun 5.3 TWh modelled spill until a TSO series exists.
Grid-India / RLDCs,IND,"solar,wind",relay-tso,india-grid-india,unpublished,india-grid-india,CEA gen-re state CSVs summed. abed is not an India PoP. Not a substitute for SLDC subgrids.
SGCC North,CHN,"wind,solar,hydro",no-public-series,,unpublished,,No machine-readable dispatch. Provincial Ember×NEA is not this TSO.
SGCC Central,CHN,"wind,solar,hydro",no-public-series,,unpublished,,No machine-readable dispatch.
SGCC East,CHN,"wind,solar,hydro",no-public-series,,unpublished,,No machine-readable dispatch.
SGCC Northeast,CHN,"wind,solar,hydro",no-public-series,,unpublished,,No machine-readable dispatch.
CSG,CHN,"wind,solar,hydro",no-public-series,,unpublished,,No machine-readable dispatch.
Mengxi,CHN,"wind,solar",no-public-series,,unpublished,,No machine-readable dispatch.
SEC,SAU,solar,no-public-series,saudiSolar,unpublished,saudi-solar,"Structural dark. 5.2% June audit figure is irradiance, not curtailment. Partnership email."
EWEC/TRANSCO,ARE,solar,no-public-series,uae,unpublished,uae,Structural dark. Partnership email.
DEWA,ARE,solar,no-public-series,,unpublished,,Structural dark.
OETC,OMN,solar,no-public-series,oman,unpublished,oman,Structural dark.
Kahramaa,QAT,solar,no-public-series,,unpublished,,Structural dark.
EETC,EGY,"solar,wind",no-public-series,egypt,unpublished,egypt,Structural dark.
ONEE,MAR,"solar,wind",no-public-series,morocco,unpublished,morocco,Structural dark.
STEG,TUN,"solar,wind",no-public-series,,unpublished,tunisia,Structural dark.
GRTE/Sonelgaz,DZA,solar,no-public-series,,unpublished,,Structural dark.
SO UPS Siberia/Far East/Kaliningrad,RUS,"hydro,wind",no-public-series,,unpublished,,Post-2022 opacity. Murmansk stays T2; European UES modelled.
Ukrenergo,UKR,"wind,solar",conflict-blocked,,unpublished,ukraine;ukraine-wind,ENTSO absent post-war. Ember is not Ukrenergo.
DPRK,PRK,hydro,no-public-series,,unpublished,north-korea,Dark. Roster row so every grid is honest about darkness.
