country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
Australia,Northern Territory,AEMO NTEM (DKIS/Tennant Creek),https://aemo.com.au/energy-systems/electricity/northern-territory-electricity-market-ntem,,not-modelled,curtailment-renewable,documented-gap,PDF-only,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Small isolated NT systems (DKIS ~250MW peak); AEMO publishes quarterly QED PDFs only; no TWh curtailment anchor.
BHS / Bahamas,,BPL (Bahamas Power and Light),https://www.bpl.com.bs/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Diesel-dominated island grid; minimal VRE. No public dispatch feed.
BIH,,Nezavisni Operator Sistema u Bosni i Hercegovini (NOS BiH),https://www.nosbih.ba/,,not-modelled,curtailment-renewable,unknown,PDF-only,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Bosnia and Herzegovina TSO. ENTSO-E member; publishes annual reports in PDF; no public hourly RES curtailment archive.
BLR,,Belenergo (GPO Belenergo),https://www.energo.by/,,not-modelled,curtailment-renewable,unknown,no-public-data,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,"Belarus state energy concern. Sanctioned, BRELL ring exit 2025; no public hourly archive; geo-blocking risk for some sub-pages."
BLZ / Belize,,Belize Electricity Limited (BEL),https://www.bel.com.bz/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,200 / text/html,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Small island grid (~600 MW peak); minimal VRE; no curtailment anchor published. Imports from Mexico CFE dominate.
BOL / Bolivia,,CNDC (Comite Nacional de Despacho de Carga),https://www.cndc.bo/,,not-modelled,none-expected,unknown,unreachable,ECONNREFUSED on probe,IRENA Bolivia 2024 (hydro+gas dominated),0.1,introduce-as-T3,T3,not-applicable,0.0000,CNDC website intermittent. Publishes Informe Mensual de Operacion as PDF. Solar+wind ~3% of mix; minimal curtailment.
BTN / Bhutan,National,BPC (Bhutan Power Corporation - transmission),https://www.bpc.bt/,,not-modelled,none-expected,documented-gap,no-public-data,200,none,0.0,leave-not-modelled,not-applicable,not-applicable,0.0000,Customer-facing site; eDISPATCH internal-only; hydro-dominant exporter to India; no public dispatch data
BTN / Bhutan,National,DGPC (Druk Green Power Corporation),https://www.dgpc.bt/,,not-modelled,none-expected,documented-gap,unreachable,ECONNREFUSED,none,0.0,leave-not-modelled,not-applicable,not-applicable,0.0000,Generation-side; hydro-only fleet; site unreachable from probe; no curtailment phenomenon expected
Brunei,,Department of Electrical Services (DES),https://www.des.gov.bn/,,not-modelled,none-expected,documented-gap,no-public-data,homepage focused on customer services and outage notices; no operations data,IRENA Renewable Capacity Statistics 2024 Brunei,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,DES under Ministry of Energy; serves ~140k customers gas-dominated. Tenaga Suria 1.2MW; ~2GW Ulu Mendaram solar planned. No curtailment.
CHN,Beijing,State Grid Beijing Electric Power,http://www.bj.sgcc.com.cn/,,not-modelled,none-expected,documented-gap,PDF-only,probe-not-attempted-known-walled,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Municipal load centre; negligible RE generation in-province; no curtailment phenomenon
CHN,Tianjin,State Grid Tianjin Electric Power,http://www.tj.sgcc.com.cn/,,not-modelled,none-expected,documented-gap,PDF-only,probe-not-attempted-known-walled,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Municipal load centre; small RE base
CHN,Shanghai,State Grid Shanghai Municipal Electric Power,http://www.sh.sgcc.com.cn/,,not-modelled,none-expected,documented-gap,PDF-only,probe-not-attempted-known-walled,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Municipal load centre; minimal RE
Canada,New Brunswick,NB Power / NB System Operator,https://www.nbpower.com/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,known-public-PDF,NB Power 2023/24 Annual Report (no separate curtailment TWh),0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Small wind fleet (~300 MW); curtailment not separately reported; tightly coupled with ISO-NE imports.
Canada,Nova Scotia,Nova Scotia Power,https://www.nspower.ca/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,known-public-PDF,NS Power Integrated Resource Plan 2020+,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,~600 MW wind; no published curtailment TWh; NSPI is Emera regulated subsidiary.
Canada,Prince Edward Island,Maritime Electric,https://www.maritimeelectric.com/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,known-public-PDF,Maritime Electric annual reports (no curtailment TWh),0.0,blocked-document-only,not-applicable,not-applicable,0.0000,PEI ~200 MW wind; export to NB via cable; no curtailment TWh published.
Canada,Newfoundland & Labrador,NL Hydro / NL System Operator,https://nlhydro.com/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,known-public-PDF,NL Hydro 2024 Annual Report (Muskrat Falls dominant),0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Hydro-dominant island system; minimal wind; no published curtailment TWh.
Canada,Yukon,Yukon Energy,https://yukonenergy.ca/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,known-public-table,Yukon Energy 2024 Annual Report (hydro/diesel mix),0.0,leave-not-modelled,not-applicable,not-applicable,0.0000,Isolated hydro+diesel grid; no significant VRE curtailment phenomenon.
Canada,Northwest Territories,Northwest Territories Power Corporation (NTPC),https://www.ntpc.com/,,not-modelled,none-expected,documented-gap,PDF-only,known-public-PDF,NTPC 2024 Annual Report (Snare hydro + diesel),0.0,leave-not-modelled,not-applicable,not-applicable,0.0000,Multiple isolated diesel/hydro grids; negligible VRE.
Canada,Nunavut,Qulliq Energy Corporation,https://www.qec.nu.ca/,,not-modelled,none-expected,documented-gap,PDF-only,known-public-PDF,Qulliq Energy 2024 Annual Report (25 community diesel),0.0,leave-not-modelled,not-applicable,not-applicable,0.0000,25 isolated diesel communities; no transmission grid; no VRE curtailment.
Central African Republic,,Energie Centrafricaine (ENERCA),https://www.enerca-rca.cf/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Bangui-only grid ~30MW; site frequently offline; conflict-affected. No public data.
Chad,,Societe Nationale d'Electricite (SNE Tchad),https://sne.td/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,N'Djamena-centred; very low electrification; site sporadic. GGFR also relevant for flaring.
Comoros,,Societe Nationale d'Electricite des Comores (SONELEC),https://sonelec.km/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Three island grids; diesel-dominant; no operator data portal.
Congo (Brazzaville),,Societe Nationale d'Electricite (SNE Congo),https://www.sne.cg/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Hydro+gas; flaring relevant via GGFR; site rarely reachable. No dispatch data.
Cook Islands,National,Te Aponga Uira (TAU),https://www.teaponga.com/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Rarotonga grid ~0.03 TWh; PV+diesel; high-RE share but no curtailment time series.
DMA / Dominica,,DOMLEC (Dominica Electricity Services),https://www.domlec.dm/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Small island utility; diesel + 27% hydro. No public dispatch data.
DOM / Dominican Republic,,ETED (Empresa de Transmision Electrica Dominicana),https://www.eted.gov.do/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Transmission only; dispatch is OC's role. ETED publishes only corporate info.
Djibouti,,Electricite de Djibouti (EDD),https://www.edd.dj/,,not-modelled,curtailment-renewable,documented-gap,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Imports from Ethiopia via EAPP; small wind/PV pilots; site intermittent.
ECU / Ecuador,,CENACE Ecuador (Operador Nacional de Electricidad),https://www.cenace.gob.ec/,,not-modelled,none-expected,documented-gap,unreachable,SSL cert error,IRENA Ecuador 2024 (hydro-dominated),0.05,introduce-as-T3,T3,not-applicable,0.0000,CENACE Ecuador SSL probe failed (cert chain); publishes Informe Anual + monthly Informe de Operacion as PDF. Distinct from Mexico CENACE.
Equatorial Guinea,,Sociedad de Electricidad de Guinea Ecuatorial (SEGESA),https://segesa.gq/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Gas-dominated; flaring relevant via GGFR; minimal VRE; site offline at probe.
Eritrea,,Eritrean Electricity Corporation (EEC),https://shabait.com/,,not-modelled,curtailment-renewable,unknown,no-public-data,no-homepage-found,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,No dedicated operator website located; state news (shabait) used as placeholder; thermal-dominant Asmara grid.
Federated States of Micronesia,Pohnpei (and state utilities),Pohnpei Utilities Corporation (PUC),https://www.puc.fm/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,State-level utilities (PUC Pohnpei; CPUC Chuuk; KUA Kosrae; YSPSC Yap); ~0.07 TWh combined; no curtailment data.
Fiji,National,Energy Fiji Limited (EFL),https://www.efl.com.fj/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Small grid (~1.1 TWh/yr); hydro+diesel mix; no published curtailment data; corporate site only.
French Polynesia,Overseas Country (FRA),EDT-Engie (Electricite de Tahiti),https://www.edt.pf/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,French overseas territory; Tahiti+Moorea+atolls ~0.7 TWh; hydro+diesel+PV; no public curtailment anchor.
GRD / Grenada,,GRENLEC (Grenada Electricity Services),https://www.grenlec.com/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Small island utility; diesel-dominant. No public dispatch data.
GTM / Guatemala,,"ETCEE (transmission, INDE subsidiary)",https://www.inde.gob.gt/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,200 / text/html,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Transmission only; market dispatch handled by AMM. No separate curtailment publication.
Greenland,National,Nukissiorfiit,https://www.nukissiorfiit.gl/,,not-modelled,none-expected,documented-gap,PDF-only,known-public-PDF,Nukissiorfiit 2023 Annual Report (hydro+diesel),0.0,leave-not-modelled,not-applicable,not-applicable,0.0000,Greenland's national utility; isolated town grids; ~70% hydro nationally; no VRE curtailment phenomenon.
Guam,US Territory,Guam Power Authority (GPA),https://www.guampowerauthority.com/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,US territory; cross-ref to North-America task; single-island grid ~1.7 TWh.
Guinea,,Electricite de Guinee (EDG),https://www.edg.com.gn/,,not-modelled,curtailment-renewable,documented-gap,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Hydro-dominant; Souapiti/Kaleta; OMVG member; site sporadic. No public dispatch.
Guinea-Bissau,,Electricidade e Aguas da Guine-Bissau (EAGB),https://eagb.gw/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Diesel-dominant; OMVG interconnection; site rarely up; no public data.
HKG,Hong Kong (Kowloon/NT),CLP Power Hong Kong (China Light & Power),https://www.clp.com.hk/,,not-modelled,none-expected,documented-gap,auth-walled,homepage-403-cloudflare-block,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Cloudflare 403 on probe; no public RE/curtailment feed; small system; cross-ref to Southern Grid
HKG,Hong Kong (Island),HK Electric (Hongkong Electric),https://www.hkelectric.com/,,not-modelled,none-expected,documented-gap,no-public-data,known-no-public-data,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Hong Kong Island system; minimal RE in fuel mix; no public hourly feed
HRV / Croatia,,HOPS,https://www.hops.hr/en,,not-modelled,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,ENTSO-E A75 available; no public HOPS annual curtailment anchor found.
HTI / Haiti,,EDH (Electricite d'Haiti),https://edh.ht/,,not-modelled,none-expected,documented-gap,unreachable,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Severely degraded grid; no public operations portal; ~30% electrification. World Bank reports 2024.
ITA / Italy (Calabria),,Terna,https://transparency.entsoe.eu/,,not-modelled,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,IT bidding zone CALA (10Y1001C--00096J); ENTSO-E A75 available but no per-zone curtailment anchor published.
ITA / Italy (Centre-North),,Terna,https://transparency.entsoe.eu/,,not-modelled,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,IT bidding zone CNOR (10Y1001A70O0H0Y); ENTSO-E A75 hourly available but no public Terna per-zone curtailment anchor.
ITA / Italy (Centre-South),,Terna,https://transparency.entsoe.eu/,,not-modelled,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,IT bidding zone CSUD (10Y1001A1001A71M); ENTSO-E A75 available but no per-zone anchor.
ITA / Italy (Sicily),,Terna,https://transparency.entsoe.eu/,,not-modelled,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,IT bidding zone SICI (10Y1001A1001A75E); ENTSO-E A75 available but no per-zone anchor.
KNA / Saint Kitts and Nevis,,SKELEC (St. Kitts Electricity Company),https://www.skelec.kn/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Small island utility; diesel-dominant. No public dispatch.
Kiribati,National,Public Utilities Board (PUB Kiribati),https://www.pub.com.ki/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Tarawa+Kiritimati islands; <0.03 TWh; diesel+small PV; no curtailment anchor.
Kuwait,,Ministry of Electricity Water and Renewable Energy (MEW),https://www.mew.gov.kw/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,MEW annual statistical reports PDF; site Arabic-primary,IRENA Renewable Capacity Statistics 2024 Kuwait,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,MEW=monopoly; ~70 MW Shagaya RE complex. Renewable share <1%. No live data feed.
Kuwait,,Kuwait Oil Company (KOC) - flare phenomenon,https://www.kockw.com/,,not-modelled,flare-associated-gas,published,no-public-data,GGFR/VIIRS; KOC sustainability reports PDF only,GGFR Global Gas Flaring Tracker Report 2024 (Kuwait),0.4,introduce-as-T3,T3,not-applicable,0.0000,Kuwait flared ~0.4 BCM 2023 per GGFR; KOC flare-reduction programme since 2010s targets near-zero.
Kyrgyzstan,,National Electric Grid of Kyrgyzstan (NESK),http://www.energo.gov.kg/,,not-modelled,none-expected,documented-gap,no-public-data,no operations data published,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Hydro-dominated (Toktogul). NESK successor to OJSC NEGK. No public real-time or annual curtailment series.
LCA / Saint Lucia,,LUCELEC (St. Lucia Electricity Services),https://www.lucelec.com/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Small island utility; diesel-dominant; small solar adds. No public dispatch.
LKA / Sri Lanka,National,CEB (Ceylon Electricity Board),https://www.ceb.lk/,,not-modelled,curtailment-renewable,documented-gap,JS-rendered-SPA,200,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Daily Net Electricity Generation panel is JS-loaded ('wait...'); LTGEP 2025-2044 PDFs only; no public TWh curtailment anchor
LUX / Luxembourg,,Creos Luxembourg,https://www.creos-net.lu/,,not-modelled,none-expected,documented-gap,no-public-data,not-probed,none,0.0,leave-not-modelled,not-applicable,not-applicable,0.0000,Small DSO inside Amprion/TenneT-DE control area; no domestic TSO-level curtailment expected separate from German bidding zone.
Laos,,Electricite du Laos (EDL),https://www.edl.com.la/,,not-modelled,none-expected,documented-gap,no-public-data,homepage minimal (logo only); no public ops data,Lao Statistics Bureau 2024 (energy chapter),0.0,blocked-document-only,not-applicable,not-applicable,0.0000,EDL state utility; >80% hydro; net exporter to Thailand/Vietnam/Cambodia. Spring spill exists but not published. EDL-Gen separate gencos.
Lebanon,,Electricité du Liban (EDL),https://www.edl.gov.lb/,,not-modelled,none-expected,documented-gap,no-public-data,EDL grid collapsed since 2019 economic crisis; no operations data,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,EDL provides 2-4 hrs/day from public grid. Distributed diesel+rooftop PV dominant. No system-wide curtailment data.
Libya,,General Electricity Company of Libya (GECOL),https://gecol.ly/,,not-modelled,both,unknown,unreachable,homepage-timeout,GGFR Libya 2024 (flare),5.0,blocked-document-only,not-applicable,not-applicable,0.0000,Civil-war-affected; chronic blackouts; major associated-gas flaring per GGFR (~5 TWh-eq/yr); GECOL site rarely accessible.
MAC,Macau,Companhia de Electricidade de Macau (CEM),https://www.cem-macau.com/,,not-modelled,none-expected,documented-gap,no-public-data,known-no-public-data,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Macau peninsula+islands; mostly imports from Southern Grid; no public RE/curtailment data
MDA,,Moldelectrica,https://moldelectrica.md/,,not-modelled,curtailment-renewable,unknown,PDF-only,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Moldova TSO. Synchronised with ENTSO-E CE since 2022 (war emergency); no public hourly curtailment data.
MDV / Maldives,National,STELCO (State Electric Company),https://www.stelco.com.mv/,,not-modelled,none-expected,documented-gap,auth-walled,403,none,0.0,leave-not-modelled,not-applicable,not-applicable,0.0000,403 forbidden on probe; small-island diesel+solar; no public dispatch data; phenomenon scale negligible
MEX / Mexico,,CFE (Comision Federal de Electricidad),https://www.cfe.mx/,,not-modelled,curtailment-renewable,documented-gap,JS-rendered-SPA,200 / text/html,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Distribution utility; system operator role transferred to CENACE in 2014. Operational anchor for Mexico held under CENACE row.
MKD,,Operator na Elektroprenosniot Sistem na Makedonija (MEPSO),https://www.mepso.com.mk/,,not-modelled,curtailment-renewable,unknown,PDF-only,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,North Macedonia TSO. ENTSO-E member; small system; annual reports as PDF; no hourly curtailment series found.
MLT / Malta,,Enemalta,https://www.enemalta.com.mt/,,not-modelled,curtailment-renewable,documented-gap,no-public-data,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Small island distribution utility; no transparency feed; ENTSO-E coverage minimal; low VRE curtailment expected.
MNE,,Crnogorski Elektroprenosni Sistem (CGES),https://www.cges.me/,,not-modelled,curtailment-renewable,unknown,PDF-only,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Montenegro TSO. ENTSO-E member; small system (~3 TWh/yr load); no public RES curtailment archive.
Malaysia,Sabah,Sabah Electricity Sdn Bhd (SESB),https://www.sesb.com.my/,,not-modelled,none-expected,documented-gap,unreachable,sesb.com.my timed out on probe,IRENA Renewable Capacity Statistics 2024 Malaysia,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,SESB serves Sabah+Labuan; gas+diesel+small hydro. RE share <10%. No public dispatch data. Cross-ref 'malaysia'.
Mali,,Energie du Mali (EDM-SA),https://edmsa.ml/,,not-modelled,curtailment-renewable,documented-gap,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Hydro+thermal+OMVS imports; severe load-shedding; site sporadic.
Marshall Islands,National,Marshalls Energy Company (MEC),https://www.mecrmi.net/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Majuro+Ebeye+outer atolls ~0.07 TWh; diesel-dominated; no curtailment anchor.
Myanmar,,Electric Power Generation Enterprise (EPGE),https://www.epge.gov.mm/,,not-modelled,none-expected,documented-gap,unreachable,epge.gov.mm refused connection on probe,IRENA Renewable Capacity Statistics 2024 Myanmar,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,EPGE under MOEP post-2021 coup. Grid load-shedding chronic (~50% deficit). Hydro+gas dominant. No public real-time data.
NPL / Nepal,National,NEA (Nepal Electricity Authority),https://www.nea.org.np/,,not-modelled,none-expected,published,PDF-only,200,none,0.0,leave-not-modelled,not-applicable,not-applicable,0.0000,Hydro-dominant grid (>95%); operational reports as PDFs (Vidyut 2082); no curtailment phenomenon expected
Nauru,National,Nauru Utilities Corporation (NUC),https://nuc.com.nr/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Single-island diesel+PV; <0.04 TWh; no curtailment anchor.
New Caledonia,Sui Generis Collectivity (FRA),Enercal,https://www.enercal.nc/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,French overseas; Grande Terre grid ~3 TWh including Doniambo/SLN nickel smelter; no public curtailment data.
Niger,,Societe Nigerienne d'Electricite (NIGELEC),https://www.nigelec.ne/,,not-modelled,curtailment-renewable,documented-gap,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Imports ~70% from Nigeria; political instability since 2023; site sporadic.
Niue,National,Niue Power Corporation,https://www.niuepower.nu/,,not-modelled,curtailment-renewable,documented-gap,no-public-data,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Single-island grid <0.005 TWh; diesel+PV; no public data.
Northern Mariana Islands,US Commonwealth,Commonwealth Utilities Corporation (CUC),https://www.cucgov.org/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,US commonwealth; cross-ref to North-America task; Saipan+Tinian+Rota ~0.27 TWh.
PAN / Panama,,ETESA / CND (Centro Nacional de Despacho),https://www.etesa.com.pa/,,not-modelled,none-expected,unknown,unreachable,SSL cert verification failed,Secretaria Nacional de Energia 2024 (solar+wind ~10%),0.2,introduce-as-T3,T3,not-applicable,0.0000,ETESA SSL cert issue on probe; CND publishes Informe de Operacion daily as PDF. No public hourly feed.
PRK,National,Korea Power Industry / Ministry of Electric Power,https://www.naenara.com.kp/,,not-modelled,none-expected,documented-gap,no-public-data,known-no-public-data,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,No public operator portal; isolated grid; no machine-readable RE or curtailment data; documented-gap
Palau,National,Palau Public Utilities Corporation (PPUC),https://palaupowerup.pw/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Koror-Babeldaob grid ~0.09 TWh; diesel+PV; no curtailment anchor.
Palestine,,Palestinian Energy and Natural Resources Authority (PENRA) / PETL,http://www.penra.pna.ps/,,not-modelled,none-expected,documented-gap,no-public-data,extremely limited public data; West Bank/Gaza split; mostly Israeli grid imports,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,PETL (transmission) staged 2018+. Most power imported from IEC/Jordan/Egypt. No curtailment series.
Papua New Guinea,National,PNG Power Limited (PPL),https://www.pngpower.com.pg/,,not-modelled,both,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Port Moresby/Ramu/Gazelle isolated grids ~1.2 TWh; PNG flare GGFR likely covered under flare-region pass.
Qatar,,QatarEnergy (flare phenomenon),https://www.qatarenergy.qa/,,not-modelled,flare-associated-gas,published,no-public-data,GGFR/VIIRS satellite; QatarEnergy publishes targets not volumes,GGFR Global Gas Flaring Tracker Report 2024 (Qatar),0.7,introduce-as-T3,T3,not-applicable,0.0000,Qatar flared ~0.7 BCM 2023 per GGFR; QE zero-routine pledge. North Field expansion may shift volumes.
RUS,Siberia (UES Siberia IPS),SO UPS - Siberia,https://www.so-ups.ru/,,not-modelled,curtailment-renewable,unknown,JS-rendered-SPA,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Siberian IPS hydro-dominant (Bratsk/Krasnoyarsk/Sayano); spring-spill expected but SO UPS does not publish granular curtailment.
RUS,Far East (UES East),SO UPS - East,https://www.so-ups.ru/,,not-modelled,curtailment-renewable,unknown,JS-rendered-SPA,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Russian Far East IPS isolated from UES until 2019; hydro+coal; no public RES curtailment archive.
RUS,Kaliningrad,SO UPS - Kaliningrad,https://www.so-ups.ru/,,not-modelled,curtailment-renewable,unknown,no-public-data,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Kaliningrad islanded from BRELL since Feb 2025 (post-Baltic-states exit); gas-dominant; no public RES curtailment data.
RUS,Yamal-Nenets,Yamal-Nenets gas flaring (operator: Gazprom/Novatek; system: SO UPS Tyumen),https://www.so-ups.ru/,,not-modelled,flare-associated-gas,published,no-public-data,not-probed,GGFR 2024 Yamal-Nenets flaring (subset of West Siberia ~15 Bcm),10.0,introduce-as-T3,T3,not-applicable,0.0000,GGFR satellite flare estimate; Yamal-Nenets autonomous okrug. Could be split-out of w-siberia. No operator-direct data; GGFR-only.
RUS,East Siberia,East Siberia oil/gas flaring; system SO UPS Siberia,https://www.so-ups.ru/,,not-modelled,flare-associated-gas,published,no-public-data,not-probed,"GGFR 2024 East Siberia flaring (Irkutsk/Krasnoyarsk fields, ~3 Bcm ≈ 9 TWh)",9.0,introduce-as-T3,T3,not-applicable,0.0000,GGFR satellite flare anchor for East Siberian basin. Smaller than W-Siberia; no operator-direct data.
Regional,Southern Africa,Southern African Power Pool (SAPP),https://www.sapp.co.zw/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,homepage-200,SAPP Annual Report 2024,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Power-pool coordinator (12 utilities); publishes day-ahead market HTML but no curtailment metric. Coordinator row.
Regional,West Africa,West African Power Pool (WAPP/EEEOA),https://www.ecowapp.org/,,not-modelled,none-expected,documented-gap,JS-rendered-SPA,homepage-200,WAPP 2024 Annual Report,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,ECOWAS power-pool coordinator (14 states); SPA dashboard with no published curtailment series. Coordinator row.
Regional,East Africa,Eastern Africa Power Pool (EAPP),https://eappool.org/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,homepage-200,EAPP Master Plan 2014 (no recent),0.0,blocked-document-only,not-applicable,not-applicable,0.0000,EAPP coordinator (12 states); little public operational data. Coordinator row.
Regional,Maghreb,Comite Maghrebin de l'Electricite (COMELEC),http://www.comelec-net.org/,,not-modelled,none-expected,documented-gap,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Maghreb coordinator (5 states). Site offline at probe; coordinator role only.
